onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
s	ʊ	m	d	ɪ	ŋ	CVC.CVC	-NPA	sʊmdɪŋ
g	æ	k	s	ɛ	ŋ	CVC.CVC	+OVA	gæksɛŋ
pm	æ	t				CNVC		pmæt
tl	ɛ	ŋ	b	ʊ	m	TlVC.CVC	-NPA	tlɛŋbʊm
mb	ɛ	p				NCVC		mbɛp
sk	ʊ	n				sCVC		skʊn
tɹ	ɛ	m	p	ʊ	n	TɹVC.CVC	+NPA	tɹɛmpʊn
tl	ɪ	ŋ	d	ʊ	n	TlVC.CVC	-NPA	tlɪŋdʊn
mk	ɑ	t				NCVC		mkɑt
dɹ	ɪ	t	s	ɛ	ŋ	TɹVC.CVC	+OVA	dɹɪtsɛŋ
dl	uː	p				TlVC		dluːp
g	æ	t				CVC		gæt
dm	ɛ	k				CNVC		dmɛk
n	æ	s	k	ɛ	ŋ	CVC.CVC	+OVA	næskɛŋ
k	ʊ	s	g	ɪ	n	CVC.CVC	-OVA	kʊsgɪn
p	ɪ	m	s	ɛ	ŋ	CVC.CVC	-NPA	pɪmsɛŋ
t	ɛ	m	k	ʊ	s	CVC.CVC	-NPA	tɛmkʊs
sp	aʊ	k				sCVC		spaʊk
d	ɛ	p	g	æ	k	CVC.CVC	-OVA	dɛpgæk
gw	ɛ	k				CwVC		gwɛk
tɹ	ʊ	n				TɹVC		tɹʊn
dl	ɛ	k				TlVC		dlɛk
g	æ	s	p	ʊ	ŋ	CVC.CVC	+OVA	gæspʊŋ
dɹ	ɛ	k	s	ʊ	n	TɹVC.CVC	+OVA	dɹɛksʊn
tl	ɛ	n				TlVC		tlɛn
n	ʊ	ŋ	g	æ	n	CVC.CVC	+NPA	nʊŋgæn
pw	ɪ	s				CwVC		pwɪs
tl	ɛ	k	g	ɪ	s	TlVC.CVC	-OVA	tlɛkgɪs
g	eɪ	s				CVC		geɪs
tl	ɪ	m	s	æ	n	TlVC.CVC	-NPA	tlɪmsæn
sp	iː	m				sCVC		spiːm
dɹ	ʊ	ŋ	g	æ	t	TɹVC.CVC	+NPA	dɹʊŋgæt
dw	æ	k				CwVC		dwæk
g	ʊ	k	s	æ	n	CVC.CVC	+OVA	gʊksæn
m	ɛ	p	k	ʊ	s	CVC.CVC	+OVA	mɛpkʊs
p	ʊ	k	d	ɪ	ŋ	CVC.CVC	-OVA	pʊkdɪŋ
tl	æ	k	g	ʊ	s	TlVC.CVC	-OVA	tlækgʊs
np	ʊ	t				NCVC		npʊt
s	aʊ	k				CVC		saʊk
g	ɛ	ŋ				CVC		gɛŋ
sk	ɑ	m				sCVC		skɑm
tl	iː	n				TlVC		tliːn
g	ɪ	ŋ	k	ʊ	t	CVC.CVC	+NPA	gɪŋkʊt
np	eɪ	t				NCVC		npeɪt
dɹ	æ	k	t	ʊ	m	TɹVC.CVC	+OVA	dɹæktʊm
dɹ	æ	s				TɹVC		dɹæs
dw	ʊ	p				CwVC		dwʊp
tɹ	ʊ	ŋ	k	æ	s	TɹVC.CVC	+NPA	tɹʊŋkæs
tl	ɛ	k				TlVC		tlɛk
d	ʊ	t	g	ɪ	p	CVC.CVC	-OVA	dʊtgɪp
s	ʊ	ŋ	g	ɛ	m	CVC.CVC	+NPA	sʊŋgɛm
gm	ɛ	k				CNVC		gmɛk
dl	ɛ	t	g	ɪ	p	TlVC.CVC	-OVA	dlɛtgɪp
kn	eɪ	t				CNVC		kneɪt
pm	ɑ	t				CNVC		pmɑt
mt	aɪ	k				NCVC		mtaɪk
tl	æ	p	d	ʊ	s	TlVC.CVC	-OVA	tlæpdʊs
p	æ	ŋ	g	ɛ	s	CVC.CVC	+NPA	pæŋgɛs
d	eɪ	p				CVC		deɪp
m	ɛ	ŋ	s	ʊ	m	CVC.CVC	-NPA	mɛŋsʊm
