onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
dɹ	ɪ	t	k	ɛ	p	TɹVC.CVC	+OVA	dɹɪtkɛp
t	ʊ	m	b	ɪ	p	CVC.CVC	+NPA	tʊmbɪp
bm	æ	p				CNVC		bmæp
dɹ	ʊ	m				TɹVC		dɹʊm
s	ɑ	n				CVC		sɑn
k	ʊ	n	p	ɛ	s	CVC.CVC	-NPA	kʊnpɛs
tl	æ	s	g	ʊ	t	TlVC.CVC	-OVA	tlæsgʊt
dɹ	ʊ	p	t	ɛ	t	TɹVC.CVC	+OVA	dɹʊptɛt
nb	iː	k				NCVC		nbiːk
tl	æ	k	b	ɛ	p	TlVC.CVC	-OVA	tlækbɛp
p	ɪ	m	g	ʊ	s	CVC.CVC	-NPA	pɪmgʊs
dl	ʊ	m	k	ɛ	ŋ	TlVC.CVC	-NPA	dlʊmkɛŋ
n	ɪ	ŋ				CVC		nɪŋ
k	aʊ	t				CVC		kaʊt
tn	ɑ	k				CNVC		tnɑk
t	ɪ	s	p	ʊ	n	CVC.CVC	+OVA	tɪspʊn
tl	ʊ	m	g	ɪ	p	TlVC.CVC	-NPA	tlʊmgɪp
tl	iː	m				TlVC		tliːm
dl	uː	s				TlVC		dluːs
k	ɛ	p	s	ʊ	ŋ	CVC.CVC	+OVA	kɛpsʊŋ
dl	iː	k				TlVC		dliːk
g	ɛ	k	s	ʊ	s	CVC.CVC	+OVA	gɛksʊs
mp	eɪ	k				NCVC		mpeɪk
p	ʊ	ŋ	g	ɪ	m	CVC.CVC	+NPA	pʊŋgɪm
mb	ɛ	t				NCVC		mbɛt
sk	oʊ	m				sCVC		skoʊm
st	aʊ	p				sCVC		staʊp
dw	æ	n				CwVC		dwæn
kn	aʊ	p				CNVC		knaʊp
md	aɪ	p				NCVC		mdaɪp
p	æ	ŋ	k	ʊ	n	CVC.CVC	+NPA	pæŋkʊn
dɹ	æ	ŋ	g	ɛ	n	TɹVC.CVC	+NPA	dɹæŋgɛn
md	iː	t				NCVC		mdiːt
s	ʊ	ŋ	p	ɛ	m	CVC.CVC	-NPA	sʊŋpɛm
t	ɪ	s	g	ʊ	ŋ	CVC.CVC	-OVA	tɪsgʊŋ
dl	ɪ	n	p	ʊ	p	TlVC.CVC	-NPA	dlɪnpʊp
dw	ɪ	t				CwVC		dwɪt
t	ʊ	s	g	ɛ	k	CVC.CVC	-OVA	tʊsgɛk
dw	ɪ	p				CwVC		dwɪp
tɹ	æ	ŋ	g	ʊ	n	TɹVC.CVC	+NPA	tɹæŋgʊn
sp	ɑ	m				sCVC		spɑm
d	ɪ	ŋ	k	ʊ	s	CVC.CVC	+NPA	dɪŋkʊs
dɹ	æ	ŋ				TɹVC		dɹæŋ
k	ɛ	s	p	æ	ŋ	CVC.CVC	+OVA	kɛspæŋ
dl	ɛ	s	g	ʊ	n	TlVC.CVC	-OVA	dlɛsgʊn
n	ɛ	ŋ	t	ʊ	m	CVC.CVC	-NPA	nɛŋtʊm
b	ɛ	p	t	ʊ	ŋ	CVC.CVC	+OVA	bɛptʊŋ
gn	eɪ	k				CNVC		gneɪk
sp	iː	t				sCVC		spiːt
tl	æ	p				TlVC		tlæp
pm	æ	k				CNVC		pmæk
dl	ɪ	k	g	æ	p	TlVC.CVC	-OVA	dlɪkgæp
tɹ	æ	ŋ	g	ʊ	t	TɹVC.CVC	+NPA	tɹæŋgʊt
m	aɪ	n				CVC		maɪn
k	æ	s	g	ʊ	n	CVC.CVC	-OVA	kæsgʊn
b	ʊ	p	g	ɛ	n	CVC.CVC	-OVA	bʊpgɛn
dɹ	ɛ	k	t	ɪ	s	TɹVC.CVC	+OVA	dɹɛktɪs
p	ʊ	m				CVC		pʊm
pw	ɛ	k				CwVC		pwɛk
dl	eɪ	n				TlVC		dleɪn
