onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
g	ɪ	k	s	ʊ	p	CVC.CVC	+OVA	gɪksʊp
d	ʊ	s	g	ɛ	ŋ	CVC.CVC	-OVA	dʊsgɛŋ
dl	ʊ	t	g	ɪ	s	TlVC.CVC	-OVA	dlʊtgɪs
dw	æ	s				CwVC		dwæs
g	æ	p	s	ɛ	ŋ	CVC.CVC	+OVA	gæpsɛŋ
m	ɪ	p				CVC		mɪp
tl	aɪ	k				TlVC		tlaɪk
md	uː	t				NCVC		mduːt
m	ɛ	p	k	æ	s	CVC.CVC	+OVA	mɛpkæs
np	ʊ	t				NCVC		npʊt
m	ʊ	s	b	ɛ	ŋ	CVC.CVC	-OVA	mʊsbɛŋ
tɹ	ɪ	n	d	ɛ	p	TɹVC.CVC	+NPA	tɹɪndɛp
tɹ	ɛ	p	s	æ	n	TɹVC.CVC	+OVA	tɹɛpsæn
dɹ	ɪ	ŋ	k	ʊ	n	TɹVC.CVC	+NPA	dɹɪŋkʊn
pw	ʊ	s				CwVC		pwʊs
dɹ	ɛ	p	k	ʊ	s	TɹVC.CVC	+OVA	dɹɛpkʊs
g	ɑ	t				CVC		gɑt
sk	æ	ŋ				sCVC		skæŋ
s	ʊ	m	b	ɛ	p	CVC.CVC	+NPA	sʊmbɛp
n	ʊ	ŋ	g	ɛ	t	CVC.CVC	+NPA	nʊŋgɛt
sk	uː	m				sCVC		skuːm
g	æ	t	s	ʊ	n	CVC.CVC	+OVA	gætsʊn
n	ʊ	t	p	æ	ŋ	CVC.CVC	+OVA	nʊtpæŋ
bm	uː	t				CNVC		bmuːt
dl	æ	n	b	ʊ	p	TlVC.CVC	-NPA	dlænbʊp
tl	æ	s	b	ʊ	m	TlVC.CVC	-OVA	tlæsbʊm
tɹ	uː	m				TɹVC		tɹuːm
g	ʊ	p	d	ɪ	ŋ	CVC.CVC	-OVA	gʊpdɪŋ
g	æ	k				CVC		gæk
g	ɛ	m	k	ʊ	t	CVC.CVC	-NPA	gɛmkʊt
d	ɪ	ŋ	g	ʊ	t	CVC.CVC	+NPA	dɪŋgʊt
dɹ	ɪ	k				TɹVC		dɹɪk
bw	ʊ	k				CwVC		bwʊk
b	ɪ	m	k	ʊ	p	CVC.CVC	-NPA	bɪmkʊp
tɹ	ɛ	ŋ	k	ʊ	p	TɹVC.CVC	+NPA	tɹɛŋkʊp
st	ʊ	m				sCVC		stʊm
tl	aɪ	n				TlVC		tlaɪn
d	ʊ	m	k	ɛ	ŋ	CVC.CVC	-NPA	dʊmkɛŋ
g	ʊ	m	k	ɛ	ŋ	CVC.CVC	-NPA	gʊmkɛŋ
tw	æ	n				CwVC		twæn
tl	æ	ŋ				TlVC		tlæŋ
dl	ʊ	m	s	æ	n	TlVC.CVC	-NPA	dlʊmsæn
km	aʊ	p				CNVC		kmaʊp
km	ɛ	p				CNVC		kmɛp
tl	ʊ	k	g	ɛ	ŋ	TlVC.CVC	-OVA	tlʊkgɛŋ
tl	ɪ	m	g	ʊ	s	TlVC.CVC	-NPA	tlɪmgʊs
d	ʊ	t	g	ɛ	p	CVC.CVC	-OVA	dʊtgɛp
tl	ʊ	p				TlVC		tlʊp
st	ɛ	n				sCVC		stɛn
n	ɛ	ŋ	g	ɪ	t	CVC.CVC	+NPA	nɛŋgɪt
gm	ɑ	t				CNVC		gmɑt
nd	æ	k				NCVC		ndæk
tm	iː	k				CNVC		tmiːk
nk	ɪ	p				NCVC		nkɪp
mp	eɪ	t				NCVC		mpeɪt
dɹ	ɪ	k	t	ʊ	n	TɹVC.CVC	+OVA	dɹɪktʊn
dl	æ	t	g	ʊ	m	TlVC.CVC	-OVA	dlætgʊm
dl	ɑ	t				TlVC		dlɑt
t	uː	k				CVC		tuːk
t	ɛ	ŋ				CVC		tɛŋ
