onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
mg	iː	t				NCVC		mgiːt
dl	oʊ	t				TlVC		dloʊt
st	oʊ	p				sCVC		stoʊp
m	aʊ	p				CVC		maʊp
tɹ	aʊ	k				TɹVC		tɹaʊk
p	æ	ŋ	d	ʊ	k	CVC.CVC	-NPA	pæŋdʊk
pw	æ	k				CwVC		pwæk
dɹ	ɪ	k	t	ʊ	m	TɹVC.CVC	+OVA	dɹɪktʊm
pn	ɛ	t				CNVC		pnɛt
tɹ	ɛ	m	b	ɪ	p	TɹVC.CVC	+NPA	tɹɛmbɪp
g	ɛ	m	b	ʊ	p	CVC.CVC	+NPA	gɛmbʊp
g	ɛ	t	s	ʊ	p	CVC.CVC	+OVA	gɛtsʊp
dɹ	ɪ	k	s	ɛ	ŋ	TɹVC.CVC	+OVA	dɹɪksɛŋ
dl	ɛ	m	g	ɪ	s	TlVC.CVC	-NPA	dlɛmgɪs
dɹ	ɪ	m	b	ɛ	ŋ	TɹVC.CVC	+NPA	dɹɪmbɛŋ
dm	ɛ	p				CNVC		dmɛp
sk	ʊ	m				sCVC		skʊm
nt	uː	k				NCVC		ntuːk
g	æ	t	p	ɛ	s	CVC.CVC	+OVA	gætpɛs
tl	ʊ	p	g	ɛ	n	TlVC.CVC	-OVA	tlʊpgɛn
tl	ɛ	p	g	ɪ	t	TlVC.CVC	-OVA	tlɛpgɪt
b	ɪ	p				CVC		bɪp
gn	aɪ	t				CNVC		gnaɪt
g	ɛ	t	p	ʊ	n	CVC.CVC	+OVA	gɛtpʊn
sk	uː	m				sCVC		skuːm
d	ɪ	ŋ	s	ʊ	n	CVC.CVC	-NPA	dɪŋsʊn
sk	eɪ	m				sCVC		skeɪm
tl	æ	ŋ	s	ʊ	m	TlVC.CVC	-NPA	tlæŋsʊm
g	ʊ	k	s	ɛ	ŋ	CVC.CVC	+OVA	gʊksɛŋ
n	ʊ	m	k	ɛ	s	CVC.CVC	-NPA	nʊmkɛs
t	uː	s				CVC		tuːs
dɹ	ʊ	k	s	ɛ	ŋ	TɹVC.CVC	+OVA	dɹʊksɛŋ
tɹ	æ	ŋ	g	ɪ	m	TɹVC.CVC	+NPA	tɹæŋgɪm
n	æ	m	g	ɪ	k	CVC.CVC	-NPA	næmgɪk
mk	ɑ	p				NCVC		mkɑp
s	ʊ	p	g	ɪ	k	CVC.CVC	-OVA	sʊpgɪk
d	ɛ	s	g	æ	p	CVC.CVC	-OVA	dɛsgæp
tl	ʊ	ŋ	p	ɛ	m	TlVC.CVC	-NPA	tlʊŋpɛm
d	ɛ	s	g	ɪ	m	CVC.CVC	-OVA	dɛsgɪm
tm	aʊ	k				CNVC		tmaʊk
tl	ɪ	n				TlVC		tlɪn
tl	ɪ	s	d	ʊ	m	TlVC.CVC	-OVA	tlɪsdʊm
pw	æ	n				CwVC		pwæn
ng	æ	k				NCVC		ngæk
md	uː	p				NCVC		mduːp
dl	æ	s	g	ɛ	t	TlVC.CVC	-OVA	dlæsgɛt
b	ɪ	p	k	ʊ	t	CVC.CVC	+OVA	bɪpkʊt
n	ɛ	ŋ	g	æ	n	CVC.CVC	+NPA	nɛŋgæn
tl	aʊ	s				TlVC		tlaʊs
s	oʊ	t				CVC		soʊt
dɹ	eɪ	m				TɹVC		dɹeɪm
g	ɪ	m	b	ʊ	p	CVC.CVC	+NPA	gɪmbʊp
m	ɪ	p	d	ʊ	m	CVC.CVC	-OVA	mɪpdʊm
kw	æ	ŋ				CwVC		kwæŋ
b	ɛ	ŋ	g	ʊ	s	CVC.CVC	+NPA	bɛŋgʊs
kn	oʊ	t				CNVC		knoʊt
t	uː	m				CVC		tuːm
dl	ɛ	s				TlVC		dlɛs
kw	ʊ	s				CwVC		kwʊs
dl	oʊ	s				TlVC		dloʊs
