onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
g	æ	m	b	ɪ	p	CVC.CVC	+NPA	gæmbɪp
sp	uː	m				sCVC		spuːm
gm	aʊ	p				CNVC		gmaʊp
p	uː	t				CVC		puːt
md	aɪ	k				NCVC		mdaɪk
dɹ	ɛ	k	s	ʊ	s	TɹVC.CVC	+OVA	dɹɛksʊs
k	ʊ	n	t	ɛ	ŋ	CVC.CVC	+NPA	kʊntɛŋ
n	ʊ	p	g	ɛ	n	CVC.CVC	-OVA	nʊpgɛn
s	ɛ	ŋ	g	æ	p	CVC.CVC	+NPA	sɛŋgæp
tl	ʊ	k	g	æ	ŋ	TlVC.CVC	-OVA	tlʊkgæŋ
g	ʊ	ŋ	t	ɪ	s	CVC.CVC	-NPA	gʊŋtɪs
bw	ɪ	p				CwVC		bwɪp
tl	ɑ	s				TlVC		tlɑs
dɹ	ɪ	ŋ	g	ɛ	n	TɹVC.CVC	+NPA	dɹɪŋgɛn
dl	ʊ	s				TlVC		dlʊs
dɹ	æ	s	t	ɛ	t	TɹVC.CVC	+OVA	dɹæstɛt
g	æ	m	b	ɛ	ŋ	CVC.CVC	+NPA	gæmbɛŋ
tɹ	ʊ	m	p	ɛ	s	TɹVC.CVC	+NPA	tɹʊmpɛs
st	iː	m				sCVC		stiːm
tɹ	ʊ	ŋ	g	ɛ	s	TɹVC.CVC	+NPA	tɹʊŋgɛs
bn	ʊ	k				CNVC		bnʊk
dl	ɑ	n				TlVC		dlɑn
nb	ʊ	k				NCVC		nbʊk
tɹ	eɪ	k				TɹVC		tɹeɪk
tl	ɪ	m	g	æ	k	TlVC.CVC	-NPA	tlɪmgæk
tm	ɪ	p				CNVC		tmɪp
kw	ɛ	t				CwVC		kwɛt
dɹ	oʊ	s				TɹVC		dɹoʊs
g	æ	s	p	ʊ	k	CVC.CVC	+OVA	gæspʊk
sp	ʊ	t				sCVC		spʊt
gn	ɪ	k				CNVC		gnɪk
dl	ʊ	s	g	ɪ	ŋ	TlVC.CVC	-OVA	dlʊsgɪŋ
gw	ɪ	p				CwVC		gwɪp
gw	æ	k				CwVC		gwæk
dl	ɪ	ŋ	p	ʊ	m	TlVC.CVC	-NPA	dlɪŋpʊm
n	aɪ	k				CVC		naɪk
d	ʊ	p				CVC		dʊp
sp	ʊ	k				sCVC		spʊk
n	ɪ	ŋ	t	ʊ	m	CVC.CVC	-NPA	nɪŋtʊm
dm	uː	k				CNVC		dmuːk
dɹ	ʊ	t	k	ɛ	ŋ	TɹVC.CVC	+OVA	dɹʊtkɛŋ
b	ɛ	p	s	ʊ	ŋ	CVC.CVC	+OVA	bɛpsʊŋ
m	ɛ	p	t	ʊ	n	CVC.CVC	+OVA	mɛptʊn
tl	uː	k				TlVC		tluːk
md	aʊ	t				NCVC		mdaʊt
tl	ɪ	p	d	ʊ	k	TlVC.CVC	-OVA	tlɪpdʊk
dl	ʊ	p	g	ɪ	m	TlVC.CVC	-OVA	dlʊpgɪm
g	oʊ	m				CVC		goʊm
n	æ	m	d	ɛ	p	CVC.CVC	-NPA	næmdɛp
g	eɪ	m				CVC		geɪm
g	æ	t	p	ɪ	m	CVC.CVC	+OVA	gætpɪm
m	ɪ	p	b	ʊ	n	CVC.CVC	-OVA	mɪpbʊn
s	ʊ	p	g	ɛ	n	CVC.CVC	-OVA	sʊpgɛn
g	ɪ	t	d	ʊ	n	CVC.CVC	-OVA	gɪtdʊn
dl	æ	m	g	ɪ	n	TlVC.CVC	-NPA	dlæmgɪn
n	ɪ	s	k	ʊ	n	CVC.CVC	+OVA	nɪskʊn
tl	ɛ	p				TlVC		tlɛp
p	ɪ	m	d	ʊ	k	CVC.CVC	-NPA	pɪmdʊk
nd	iː	p				NCVC		ndiːp
mp	æ	k				NCVC		mpæk
