onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
m	ɪ	p	k	ʊ	n	CVC.CVC	+OVA	mɪpkʊn
d	ɛ	s	p	æ	ŋ	CVC.CVC	+OVA	dɛspæŋ
d	ʊ	t	g	æ	ŋ	CVC.CVC	-OVA	dʊtgæŋ
m	ʊ	n				CVC		mʊn
dw	ɪ	ŋ				CwVC		dwɪŋ
ng	ʊ	k				NCVC		ngʊk
dl	ɪ	k	g	æ	s	TlVC.CVC	-OVA	dlɪkgæs
p	ʊ	ŋ	g	ɪ	p	CVC.CVC	+NPA	pʊŋgɪp
dɹ	ɪ	ŋ	k	ʊ	t	TɹVC.CVC	+NPA	dɹɪŋkʊt
d	ɪ	ŋ	p	ʊ	m	CVC.CVC	-NPA	dɪŋpʊm
sp	ɪ	ŋ				sCVC		spɪŋ
n	æ	ŋ	k	ɛ	s	CVC.CVC	+NPA	næŋkɛs
tl	æ	ŋ	p	ʊ	m	TlVC.CVC	-NPA	tlæŋpʊm
n	ɛ	ŋ	g	ɪ	t	CVC.CVC	+NPA	nɛŋgɪt
gw	æ	ŋ				CwVC		gwæŋ
st	eɪ	m				sCVC		steɪm
dl	ɑ	k				TlVC		dlɑk
dn	ɑ	p				CNVC		dnɑp
n	uː	k				CVC		nuːk
dɹ	æ	k	t	ɛ	ŋ	TɹVC.CVC	+OVA	dɹæktɛŋ
tl	ɑ	n				TlVC		tlɑn
tɹ	ɛ	p	s	ʊ	n	TɹVC.CVC	+OVA	tɹɛpsʊn
dɹ	ɛ	k	s	ʊ	m	TɹVC.CVC	+OVA	dɹɛksʊm
tɹ	æ	ŋ	g	ʊ	k	TɹVC.CVC	+NPA	tɹæŋgʊk
g	ɛ	k	s	ʊ	ŋ	CVC.CVC	+OVA	gɛksʊŋ
tn	æ	k				CNVC		tnæk
k	ʊ	t	g	æ	p	CVC.CVC	-OVA	kʊtgæp
dl	ɪ	s				TlVC		dlɪs
bm	æ	t				CNVC		bmæt
tl	ʊ	p	g	ɛ	m	TlVC.CVC	-OVA	tlʊpgɛm
tl	aɪ	n				TlVC		tlaɪn
m	ɛ	ŋ	s	æ	n	CVC.CVC	-NPA	mɛŋsæn
dn	æ	k				CNVC		dnæk
dl	ɪ	m	s	ɛ	ŋ	TlVC.CVC	-NPA	dlɪmsɛŋ
b	ʊ	m	k	ɛ	s	CVC.CVC	-NPA	bʊmkɛs
dl	ɛ	m	k	ʊ	t	TlVC.CVC	-NPA	dlɛmkʊt
dl	ɪ	k				TlVC		dlɪk
dɹ	æ	ŋ	k	ʊ	n	TɹVC.CVC	+NPA	dɹæŋkʊn
g	æ	t	p	ʊ	k	CVC.CVC	+OVA	gætpʊk
st	eɪ	p				sCVC		steɪp
pw	ʊ	ŋ				CwVC		pwʊŋ
s	ʊ	m	k	ɛ	s	CVC.CVC	-NPA	sʊmkɛs
dl	ɪ	p	g	ɛ	m	TlVC.CVC	-OVA	dlɪpgɛm
t	ɑ	n				CVC		tɑn
np	iː	k				NCVC		npiːk
g	ɪ	p	t	ɛ	m	CVC.CVC	+OVA	gɪptɛm
dl	æ	s	g	ʊ	k	TlVC.CVC	-OVA	dlæsgʊk
mg	ɪ	k				NCVC		mgɪk
pw	æ	ŋ				CwVC		pwæŋ
mb	aʊ	p				NCVC		mbaʊp
dn	aɪ	t				CNVC		dnaɪt
n	ʊ	ŋ	k	æ	s	CVC.CVC	+NPA	nʊŋkæs
g	ɪ	p	d	ʊ	s	CVC.CVC	-OVA	gɪpdʊs
tɹ	aʊ	p				TɹVC		tɹaʊp
d	ʊ	m				CVC		dʊm
g	ɪ	ŋ				CVC		gɪŋ
g	ɛ	p	d	ʊ	s	CVC.CVC	-OVA	gɛpdʊs
nb	uː	p				NCVC		nbuːp
tɹ	ɑ	k				TɹVC		tɹɑk
st	oʊ	m				sCVC		stoʊm
