onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
n	æ	s				CVC		næs
nk	ʊ	t				NCVC		nkʊt
dɹ	ɪ	n	s	ʊ	ŋ	TɹVC.CVC	+NPA	dɹɪnsʊŋ
dn	uː	t				CNVC		dnuːt
km	æ	p				CNVC		kmæp
dl	aɪ	k				TlVC		dlaɪk
g	ʊ	p	t	ɛ	ŋ	CVC.CVC	+OVA	gʊptɛŋ
dw	ɛ	p				CwVC		dwɛp
bn	aʊ	t				CNVC		bnaʊt
sp	oʊ	t				sCVC		spoʊt
d	ʊ	ŋ	b	ɛ	p	CVC.CVC	-NPA	dʊŋbɛp
dl	æ	m	t	ʊ	s	TlVC.CVC	-NPA	dlæmtʊs
dm	aʊ	k				CNVC		dmaʊk
n	æ	ŋ	s	ʊ	m	CVC.CVC	-NPA	næŋsʊm
d	ʊ	k	g	ɛ	s	CVC.CVC	-OVA	dʊkgɛs
dɹ	eɪ	s				TɹVC		dɹeɪs
tw	ʊ	ŋ				CwVC		twʊŋ
dɹ	ɛ	t	p	ɪ	m	TɹVC.CVC	+OVA	dɹɛtpɪm
nb	ɛ	t				NCVC		nbɛt
m	ʊ	n	t	ɪ	s	CVC.CVC	+NPA	mʊntɪs
g	ʊ	s				CVC		gʊs
g	ɛ	n	d	ʊ	t	CVC.CVC	+NPA	gɛndʊt
st	eɪ	p				sCVC		steɪp
tl	uː	s				TlVC		tluːs
d	ʊ	p	s	ɛ	ŋ	CVC.CVC	+OVA	dʊpsɛŋ
tɹ	æ	ŋ	g	ʊ	n	TɹVC.CVC	+NPA	tɹæŋgʊn
n	ʊ	t	g	ɛ	p	CVC.CVC	-OVA	nʊtgɛp
km	ɑ	t				CNVC		kmɑt
dɹ	æ	s	p	ʊ	p	TɹVC.CVC	+OVA	dɹæspʊp
k	aʊ	t				CVC		kaʊt
bw	ɪ	k				CwVC		bwɪk
dɹ	ɪ	n	t	ɛ	p	TɹVC.CVC	+NPA	dɹɪntɛp
m	ʊ	n	g	æ	m	CVC.CVC	-NPA	mʊngæm
dl	ʊ	ŋ				TlVC		dlʊŋ
g	ʊ	k	p	ɛ	s	CVC.CVC	+OVA	gʊkpɛs
dl	ɛ	m	g	ʊ	s	TlVC.CVC	-NPA	dlɛmgʊs
dɹ	iː	s				TɹVC		dɹiːs
np	eɪ	t				NCVC		npeɪt
g	ɪ	t	s	ʊ	m	CVC.CVC	+OVA	gɪtsʊm
m	ʊ	s	t	ɛ	p	CVC.CVC	+OVA	mʊstɛp
dl	ɛ	m	s	ʊ	n	TlVC.CVC	-NPA	dlɛmsʊn
d	ʊ	n	t	ɛ	m	CVC.CVC	+NPA	dʊntɛm
n	iː	m				CVC		niːm
p	æ	ŋ	g	ʊ	s	CVC.CVC	+NPA	pæŋgʊs
dl	ʊ	t	g	æ	k	TlVC.CVC	-OVA	dlʊtgæk
dl	æ	s	g	ʊ	n	TlVC.CVC	-OVA	dlæsgʊn
t	ʊ	m	k	æ	s	CVC.CVC	-NPA	tʊmkæs
bw	ɪ	t				CwVC		bwɪt
k	ʊ	s	g	ɛ	n	CVC.CVC	-OVA	kʊsgɛn
p	ʊ	k	g	ɛ	p	CVC.CVC	-OVA	pʊkgɛp
tl	ɛ	s	d	ʊ	m	TlVC.CVC	-OVA	tlɛsdʊm
md	aɪ	p				NCVC		mdaɪp
dɹ	ɪ	k	t	ɛ	p	TɹVC.CVC	+OVA	dɹɪktɛp
g	aʊ	t				CVC		gaʊt
np	uː	t				NCVC		npuːt
dl	ʊ	t				TlVC		dlʊt
sp	oʊ	n				sCVC		spoʊn
tl	ɛ	k	g	ɪ	t	TlVC.CVC	-OVA	tlɛkgɪt
dl	ɛ	ŋ				TlVC		dlɛŋ
sp	ʊ	k				sCVC		spʊk
