onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
p	ɪ	m	t	ʊ	n	CVC.CVC	-NPA	pɪmtʊn
p	ɪ	m	t	ʊ	ŋ	CVC.CVC	-NPA	pɪmtʊŋ
p	ɪ	m	t	ʊ	s	CVC.CVC	-NPA	pɪmtʊs
p	ɪ	m	k	ʊ	n	CVC.CVC	-NPA	pɪmkʊn
p	ɪ	m	k	ʊ	p	CVC.CVC	-NPA	pɪmkʊp
p	ɪ	m	k	ʊ	t	CVC.CVC	-NPA	pɪmkʊt
p	ɪ	m	k	ʊ	s	CVC.CVC	-NPA	pɪmkʊs
p	ɪ	m	b	ʊ	n	CVC.CVC	+NPA	pɪmbʊn
p	ɪ	m	b	ʊ	p	CVC.CVC	+NPA	pɪmbʊp
p	ɪ	m	d	ʊ	n	CVC.CVC	-NPA	pɪmdʊn
p	ɪ	m	d	ʊ	ŋ	CVC.CVC	-NPA	pɪmdʊŋ
p	ɪ	m	d	ʊ	p	CVC.CVC	-NPA	pɪmdʊp
p	ɪ	m	d	ʊ	t	CVC.CVC	-NPA	pɪmdʊt
p	ɪ	m	d	ʊ	k	CVC.CVC	-NPA	pɪmdʊk
p	ɪ	m	d	ʊ	s	CVC.CVC	-NPA	pɪmdʊs
p	ɪ	m	g	ʊ	n	CVC.CVC	-NPA	pɪmgʊn
p	ɪ	m	g	ʊ	ŋ	CVC.CVC	-NPA	pɪmgʊŋ
p	ɪ	m	g	ʊ	t	CVC.CVC	-NPA	pɪmgʊt
p	ɪ	m	g	ʊ	k	CVC.CVC	-NPA	pɪmgʊk
p	ɪ	m	g	ʊ	s	CVC.CVC	-NPA	pɪmgʊs
p	ɪ	m	s	ʊ	n	CVC.CVC	-NPA	pɪmsʊn
p	ɪ	m	s	ʊ	ŋ	CVC.CVC	-NPA	pɪmsʊŋ
p	ɪ	m	s	ʊ	p	CVC.CVC	-NPA	pɪmsʊp
p	ɪ	m	s	ʊ	s	CVC.CVC	-NPA	pɪmsʊs
t	ɪ	s	p	ʊ	m	CVC.CVC	+OVA	tɪspʊm
t	ɪ	s	p	ʊ	n	CVC.CVC	+OVA	tɪspʊn
t	ɪ	s	p	ʊ	ŋ	CVC.CVC	+OVA	tɪspʊŋ
t	ɪ	s	p	ʊ	p	CVC.CVC	+OVA	tɪspʊp
t	ɪ	s	p	ʊ	k	CVC.CVC	+OVA	tɪspʊk
t	ɪ	s	k	ʊ	n	CVC.CVC	+OVA	tɪskʊn
t	ɪ	s	k	ʊ	p	CVC.CVC	+OVA	tɪskʊp
t	ɪ	s	k	ʊ	t	CVC.CVC	+OVA	tɪskʊt
t	ɪ	s	b	ʊ	m	CVC.CVC	-OVA	tɪsbʊm
