onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
mt	ɛ	p				NCVC		mtɛp
b	ɛ	ŋ	p	ʊ	k	CVC.CVC	-NPA	bɛŋpʊk
gw	æ	n				CwVC		gwæn
g	ɪ	n	s	ʊ	s	CVC.CVC	+NPA	gɪnsʊs
tl	æ	m	d	ʊ	ŋ	TlVC.CVC	-NPA	tlæmdʊŋ
k	ɛ	p	g	æ	t	CVC.CVC	-OVA	kɛpgæt
bm	eɪ	k				CNVC		bmeɪk
pm	ɛ	t				CNVC		pmɛt
dɹ	æ	s	t	ʊ	n	TɹVC.CVC	+OVA	dɹæstʊn
dɹ	oʊ	k				TɹVC		dɹoʊk
dl	aʊ	m				TlVC		dlaʊm
gn	uː	k				CNVC		gnuːk
n	æ	s	d	ʊ	p	CVC.CVC	-OVA	næsdʊp
g	oʊ	s				CVC		goʊs
n	ɛ	ŋ	g	ɪ	m	CVC.CVC	+NPA	nɛŋgɪm
dl	ʊ	m	k	ɛ	p	TlVC.CVC	-NPA	dlʊmkɛp
sp	oʊ	k				sCVC		spoʊk
tl	æ	k	g	ɛ	ŋ	TlVC.CVC	-OVA	tlækgɛŋ
pw	ɛ	m				CwVC		pwɛm
tl	æ	n	p	ʊ	k	TlVC.CVC	-NPA	tlænpʊk
tɹ	æ	ŋ	g	ʊ	s	TɹVC.CVC	+NPA	tɹæŋgʊs
ng	ɪ	k				NCVC		ngɪk
k	iː	s				CVC		kiːs
dɹ	ʊ	ŋ	g	ɛ	p	TɹVC.CVC	+NPA	dɹʊŋgɛp
sp	aʊ	n				sCVC		spaʊn
mg	ɛ	p				NCVC		mgɛp
b	ɛ	ŋ	s	ʊ	n	CVC.CVC	-NPA	bɛŋsʊn
st	ɑ	n				sCVC		stɑn
tɹ	ɛ	p	s	ʊ	m	TɹVC.CVC	+OVA	tɹɛpsʊm
dl	eɪ	p				TlVC		dleɪp
g	æ	n	t	ɛ	ŋ	CVC.CVC	+NPA	gæntɛŋ
n	æ	ŋ	t	ʊ	s	CVC.CVC	-NPA	næŋtʊs
tm	uː	p				CNVC		tmuːp
mp	ɪ	k				NCVC		mpɪk
d	ʊ	p	k	ɛ	s	CVC.CVC	+OVA	dʊpkɛs
dl	ɛ	k	g	ʊ	t	TlVC.CVC	-OVA	dlɛkgʊt
dl	aɪ	s				TlVC		dlaɪs
dl	ɛ	p	b	ʊ	n	TlVC.CVC	-OVA	dlɛpbʊn
bw	ɛ	s				CwVC		bwɛs
t	ʊ	m	d	ɛ	p	CVC.CVC	-NPA	tʊmdɛp
n	æ	s	d	ʊ	ŋ	CVC.CVC	-OVA	næsdʊŋ
tl	ʊ	k				TlVC		tlʊk
dɹ	æ	ŋ	g	ɪ	k	TɹVC.CVC	+NPA	dɹæŋgɪk
tl	æ	n				TlVC		tlæn
d	ɛ	p				CVC		dɛp
bw	ɛ	n				CwVC		bwɛn
g	æ	k	t	ɛ	t	CVC.CVC	+OVA	gæktɛt
g	ʊ	t	p	ɪ	m	CVC.CVC	+OVA	gʊtpɪm
g	aʊ	m				CVC		gaʊm
dl	ɪ	s	b	ʊ	p	TlVC.CVC	-OVA	dlɪsbʊp
mb	ɛ	k				NCVC		mbɛk
n	aʊ	p				CVC		naʊp
g	ɪ	k	p	ʊ	m	CVC.CVC	+OVA	gɪkpʊm
n	ʊ	p	g	ɪ	ŋ	CVC.CVC	-OVA	nʊpgɪŋ
k	ʊ	p	t	ɪ	s	CVC.CVC	+OVA	kʊptɪs
dɹ	ʊ	p	s	æ	n	TɹVC.CVC	+OVA	dɹʊpsæn
gm	eɪ	k				CNVC		gmeɪk
sk	aɪ	m				sCVC		skaɪm
dɹ	iː	k				TɹVC		dɹiːk
b	ɛ	ŋ	g	ɪ	s	CVC.CVC	+NPA	bɛŋgɪs
