onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
tl	oʊ	p				TlVC		tloʊp
pm	aɪ	t				CNVC		pmaɪt
dɹ	æ	n	t	ɛ	ŋ	TɹVC.CVC	+NPA	dɹæntɛŋ
dɹ	ɪ	m	p	ʊ	p	TɹVC.CVC	+NPA	dɹɪmpʊp
tl	ɪ	ŋ	d	ɛ	s	TlVC.CVC	-NPA	tlɪŋdɛs
p	ʊ	k				CVC		pʊk
d	ɪ	ŋ				CVC		dɪŋ
n	ʊ	p	s	ɛ	ŋ	CVC.CVC	+OVA	nʊpsɛŋ
nb	ɪ	k				NCVC		nbɪk
dl	uː	n				TlVC		dluːn
p	ɪ	m	k	ʊ	p	CVC.CVC	-NPA	pɪmkʊp
g	ʊ	m	s	ɛ	ŋ	CVC.CVC	-NPA	gʊmsɛŋ
tw	ʊ	p				CwVC		twʊp
tl	æ	s	g	ɛ	ŋ	TlVC.CVC	-OVA	tlæsgɛŋ
tw	ɛ	m				CwVC		twɛm
mg	ɑ	k				NCVC		mgɑk
dɹ	æ	k	p	ɛ	m	TɹVC.CVC	+OVA	dɹækpɛm
mt	iː	k				NCVC		mtiːk
bw	ʊ	t				CwVC		bwʊt
dɹ	ɪ	ŋ	g	æ	t	TɹVC.CVC	+NPA	dɹɪŋgæt
k	ʊ	s	t	ɛ	m	CVC.CVC	+OVA	kʊstɛm
g	ʊ	ŋ	t	ɛ	m	CVC.CVC	-NPA	gʊŋtɛm
dl	iː	p				TlVC		dliːp
dl	aɪ	k				TlVC		dlaɪk
tl	æ	s	g	ɛ	m	TlVC.CVC	-OVA	tlæsgɛm
k	æ	s	d	ʊ	ŋ	CVC.CVC	-OVA	kæsdʊŋ
dm	ɛ	t				CNVC		dmɛt
s	ʊ	p	b	ɛ	ŋ	CVC.CVC	-OVA	sʊpbɛŋ
g	æ	t	p	ʊ	ŋ	CVC.CVC	+OVA	gætpʊŋ
tl	ʊ	m	g	ɪ	n	TlVC.CVC	-NPA	tlʊmgɪn
dl	ɪ	k	b	ɛ	ŋ	TlVC.CVC	-OVA	dlɪkbɛŋ
dɹ	æ	k	t	ʊ	n	TɹVC.CVC	+OVA	dɹæktʊn
sp	ɑ	n				sCVC		spɑn
g	ɛ	m				CVC		gɛm
g	ɪ	m	p	æ	ŋ	CVC.CVC	+NPA	gɪmpæŋ
mb	oʊ	k				NCVC		mboʊk
gw	ɪ	n				CwVC		gwɪn
dl	ɛ	ŋ	t	ʊ	n	TlVC.CVC	-NPA	dlɛŋtʊn
dɹ	ɪ	t				TɹVC		dɹɪt
g	ɪ	ŋ	k	æ	s	CVC.CVC	+NPA	gɪŋkæs
st	ʊ	n				sCVC		stʊn
md	oʊ	t				NCVC		mdoʊt
sk	ɪ	ŋ				sCVC		skɪŋ
k	ʊ	s	t	ɛ	ŋ	CVC.CVC	+OVA	kʊstɛŋ
dn	oʊ	t				CNVC		dnoʊt
k	ʊ	t	s	æ	n	CVC.CVC	+OVA	kʊtsæn
t	ɛ	m	p	ʊ	n	CVC.CVC	+NPA	tɛmpʊn
bm	ɛ	k				CNVC		bmɛk
dl	iː	s				TlVC		dliːs
sk	aʊ	p				sCVC		skaʊp
m	ɛ	ŋ	k	ʊ	n	CVC.CVC	+NPA	mɛŋkʊn
d	ɪ	ŋ	t	ʊ	n	CVC.CVC	-NPA	dɪŋtʊn
b	ʊ	n				CVC		bʊn
dɹ	iː	n				TɹVC		dɹiːn
g	iː	k				CVC		giːk
pn	ɑ	t				CNVC		pnɑt
g	ɪ	k	d	ʊ	s	CVC.CVC	-OVA	gɪkdʊs
p	ɛ	s	g	ɪ	p	CVC.CVC	-OVA	pɛsgɪp
dɹ	ɪ	t	s	ʊ	p	TɹVC.CVC	+OVA	dɹɪtsʊp
dl	ʊ	s	g	æ	ŋ	TlVC.CVC	-OVA	dlʊsgæŋ
