onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
tɹ	ɛ	m	p	ʊ	ŋ	TɹVC.CVC	+NPA	tɹɛmpʊŋ
bn	uː	k				CNVC		bnuːk
k	iː	m				CVC		kiːm
md	ɪ	p				NCVC		mdɪp
k	ʊ	t	g	ɪ	m	CVC.CVC	-OVA	kʊtgɪm
tl	aɪ	m				TlVC		tlaɪm
k	ɛ	p	d	ʊ	k	CVC.CVC	-OVA	kɛpdʊk
tl	æ	p	g	ɪ	m	TlVC.CVC	-OVA	tlæpgɪm
dl	aʊ	p				TlVC		dlaʊp
kw	ɛ	p				CwVC		kwɛp
g	æ	ŋ	d	ɛ	s	CVC.CVC	-NPA	gæŋdɛs
dl	æ	n	p	ɪ	m	TlVC.CVC	-NPA	dlænpɪm
dɹ	ɪ	k	p	ɛ	m	TɹVC.CVC	+OVA	dɹɪkpɛm
tn	ɑ	p				CNVC		tnɑp
g	æ	n				CVC		gæn
g	æ	t	s	ʊ	ŋ	CVC.CVC	+OVA	gætsʊŋ
n	æ	m	b	ɪ	p	CVC.CVC	+NPA	næmbɪp
g	ʊ	t	b	ɛ	ŋ	CVC.CVC	-OVA	gʊtbɛŋ
t	aʊ	s				CVC		taʊs
tl	eɪ	s				TlVC		tleɪs
tl	ɪ	m	g	ɛ	p	TlVC.CVC	-NPA	tlɪmgɛp
g	ɛ	t	p	ʊ	k	CVC.CVC	+OVA	gɛtpʊk
g	ɪ	k	t	ɛ	t	CVC.CVC	+OVA	gɪktɛt
tw	æ	n				CwVC		twæn
dɹ	ɪ	n	s	ɛ	ŋ	TɹVC.CVC	+NPA	dɹɪnsɛŋ
dl	ɛ	p	g	ʊ	m	TlVC.CVC	-OVA	dlɛpgʊm
bw	æ	m				CwVC		bwæm
p	aʊ	s				CVC		paʊs
ng	ɑ	k				NCVC		ngɑk
tɹ	ʊ	k				TɹVC		tɹʊk
p	ʊ	ŋ	k	ɛ	p	CVC.CVC	+NPA	pʊŋkɛp
p	ɛ	m	g	ʊ	s	CVC.CVC	-NPA	pɛmgʊs
tl	ɛ	n	p	ʊ	k	TlVC.CVC	-NPA	tlɛnpʊk
km	æ	t				CNVC		kmæt
mt	aʊ	k				NCVC		mtaʊk
dl	æ	m				TlVC		dlæm
bm	ɪ	k				CNVC		bmɪk
dl	æ	k	g	ɪ	s	TlVC.CVC	-OVA	dlækgɪs
dw	ɛ	p				CwVC		dwɛp
sp	ʊ	ŋ				sCVC		spʊŋ
g	ʊ	m	t	ɪ	s	CVC.CVC	-NPA	gʊmtɪs
n	uː	t				CVC		nuːt
mb	ʊ	k				NCVC		mbʊk
sk	ʊ	t				sCVC		skʊt
dɹ	ʊ	s	t	ɛ	ŋ	TɹVC.CVC	+OVA	dɹʊstɛŋ
d	ʊ	n	t	ɛ	t	CVC.CVC	+NPA	dʊntɛt
tɹ	ʊ	ŋ	g	æ	p	TɹVC.CVC	+NPA	tɹʊŋgæp
sp	aʊ	m				sCVC		spaʊm
n	ʊ	p	t	ɛ	ŋ	CVC.CVC	+OVA	nʊptɛŋ
sk	ʊ	ŋ				sCVC		skʊŋ
g	ɪ	t	d	ʊ	p	CVC.CVC	-OVA	gɪtdʊp
tɹ	oʊ	m				TɹVC		tɹoʊm
tl	iː	p				TlVC		tliːp
m	ɪ	p	t	ɛ	ŋ	CVC.CVC	+OVA	mɪptɛŋ
m	ɛ	ŋ	b	ɪ	p	CVC.CVC	-NPA	mɛŋbɪp
mb	oʊ	p				NCVC		mboʊp
g	æ	m	p	ʊ	n	CVC.CVC	+NPA	gæmpʊn
dl	ɛ	s	g	ʊ	k	TlVC.CVC	-OVA	dlɛsgʊk
dm	iː	t				CNVC		dmiːt
dɹ	ɪ	k	s	ʊ	ŋ	TɹVC.CVC	+OVA	dɹɪksʊŋ
