onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
s	æ	n	d	ʊ	s	CVC.CVC	+NPA	sændʊs
sp	ɛ	ŋ				sCVC		spɛŋ
dl	ɛ	m				TlVC		dlɛm
g	ɛ	k	t	ʊ	n	CVC.CVC	+OVA	gɛktʊn
n	æ	ŋ	g	ɪ	s	CVC.CVC	+NPA	næŋgɪs
m	ɪ	p	d	ʊ	m	CVC.CVC	-OVA	mɪpdʊm
d	ɛ	p	g	ɪ	ŋ	CVC.CVC	-OVA	dɛpgɪŋ
pw	æ	k				CwVC		pwæk
g	ʊ	t	d	ɛ	s	CVC.CVC	-OVA	gʊtdɛs
tl	ɪ	n				TlVC		tlɪn
dɹ	ɛ	p	k	æ	s	TɹVC.CVC	+OVA	dɹɛpkæs
dl	æ	ŋ	p	ɪ	m	TlVC.CVC	-NPA	dlæŋpɪm
dɹ	ɑ	s				TɹVC		dɹɑs
tl	æ	k				TlVC		tlæk
dn	ɑ	p				CNVC		dnɑp
g	ɛ	ŋ	t	ʊ	s	CVC.CVC	-NPA	gɛŋtʊs
sk	aʊ	n				sCVC		skaʊn
mt	ɑ	p				NCVC		mtɑp
dl	eɪ	s				TlVC		dleɪs
pn	eɪ	t				CNVC		pneɪt
bn	ɛ	p				CNVC		bnɛp
dl	ɛ	p	g	ʊ	s	TlVC.CVC	-OVA	dlɛpgʊs
t	ɪ	s	k	ɛ	p	CVC.CVC	+OVA	tɪskɛp
dw	æ	p				CwVC		dwæp
p	ʊ	k	g	ɛ	t	CVC.CVC	-OVA	pʊkgɛt
n	ʊ	ŋ	s	æ	n	CVC.CVC	-NPA	nʊŋsæn
g	aɪ	m				CVC		gaɪm
sk	oʊ	m				sCVC		skoʊm
tl	ɛ	s	g	ɪ	k	TlVC.CVC	-OVA	tlɛsgɪk
g	æ	s	t	ɛ	p	CVC.CVC	+OVA	gæstɛp
g	ɪ	m	d	ʊ	ŋ	CVC.CVC	-NPA	gɪmdʊŋ
gm	eɪ	t				CNVC		gmeɪt
tl	aʊ	m				TlVC		tlaʊm
md	ɛ	p				NCVC		mdɛp
dl	æ	p	g	ɪ	n	TlVC.CVC	-OVA	dlæpgɪn
tɹ	ʊ	k				TɹVC		tɹʊk
mb	oʊ	t				NCVC		mboʊt
sp	uː	n				sCVC		spuːn
g	æ	m	t	ʊ	s	CVC.CVC	-NPA	gæmtʊs
dɹ	ɪ	ŋ	k	ɛ	s	TɹVC.CVC	+NPA	dɹɪŋkɛs
tw	ɛ	m				CwVC		twɛm
m	ʊ	s	k	ɛ	p	CVC.CVC	+OVA	mʊskɛp
d	ɛ	p	s	ʊ	m	CVC.CVC	+OVA	dɛpsʊm
dɹ	æ	n	t	ɛ	p	TɹVC.CVC	+NPA	dɹæntɛp
dl	ɪ	n	k	ɛ	ŋ	TlVC.CVC	-NPA	dlɪnkɛŋ
mt	ɛ	k				NCVC		mtɛk
tɹ	æ	ŋ	k	ʊ	t	TɹVC.CVC	+NPA	tɹæŋkʊt
n	ɛ	m				CVC		nɛm
p	ɪ	m	b	ʊ	p	CVC.CVC	+NPA	pɪmbʊp
g	ɪ	ŋ	k	ʊ	n	CVC.CVC	+NPA	gɪŋkʊn
d	oʊ	n				CVC		doʊn
tw	ʊ	n				CwVC		twʊn
mp	æ	k				NCVC		mpæk
tɹ	ʊ	k	p	æ	ŋ	TɹVC.CVC	+OVA	tɹʊkpæŋ
t	aʊ	k				CVC		taʊk
dl	ɛ	t	b	ʊ	m	TlVC.CVC	-OVA	dlɛtbʊm
tl	ʊ	m	g	æ	n	TlVC.CVC	-NPA	tlʊmgæn
dm	æ	k				CNVC		dmæk
dɹ	æ	s	p	ɛ	m	TɹVC.CVC	+OVA	dɹæspɛm
g	eɪ	p				CVC		geɪp
