onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
d	ʊ	s	k	ɛ	p	CVC.CVC	+OVA	dʊskɛp
p	aʊ	n				CVC		paʊn
g	ɛ	k	d	ʊ	n	CVC.CVC	-OVA	gɛkdʊn
dl	ɛ	m	t	ʊ	s	TlVC.CVC	-NPA	dlɛmtʊs
s	ɛ	ŋ	k	ʊ	t	CVC.CVC	+NPA	sɛŋkʊt
g	iː	s				CVC		giːs
nd	ɛ	t				NCVC		ndɛt
dl	ɪ	p				TlVC		dlɪp
t	oʊ	s				CVC		toʊs
dl	ɪ	k	g	ʊ	n	TlVC.CVC	-OVA	dlɪkgʊn
g	æ	t	k	ʊ	s	CVC.CVC	+OVA	gætkʊs
g	ɛ	k	s	ʊ	m	CVC.CVC	+OVA	gɛksʊm
dɹ	æ	k	t	ʊ	s	TɹVC.CVC	+OVA	dɹæktʊs
dɹ	ʊ	t				TɹVC		dɹʊt
tl	ɪ	s	g	ʊ	t	TlVC.CVC	-OVA	tlɪsgʊt
p	ʊ	k	g	æ	t	CVC.CVC	-OVA	pʊkgæt
nb	eɪ	t				NCVC		nbeɪt
n	æ	ŋ	p	ʊ	m	CVC.CVC	-NPA	næŋpʊm
km	ɑ	p				CNVC		kmɑp
nt	uː	p				NCVC		ntuːp
pw	ɛ	n				CwVC		pwɛn
sk	oʊ	t				sCVC		skoʊt
dɹ	ʊ	ŋ	k	æ	s	TɹVC.CVC	+NPA	dɹʊŋkæs
gm	æ	k				CNVC		gmæk
tl	ʊ	k	g	ɪ	m	TlVC.CVC	-OVA	tlʊkgɪm
dɹ	ɛ	n	t	ʊ	ŋ	TɹVC.CVC	+NPA	dɹɛntʊŋ
p	ɛ	s	b	ʊ	p	CVC.CVC	-OVA	pɛsbʊp
g	aʊ	k				CVC		gaʊk
n	ɛ	m	s	ʊ	s	CVC.CVC	-NPA	nɛmsʊs
mt	ɑ	k				NCVC		mtɑk
g	æ	k	t	ɛ	ŋ	CVC.CVC	+OVA	gæktɛŋ
dɹ	ʊ	t	s	ɛ	ŋ	TɹVC.CVC	+OVA	dɹʊtsɛŋ
st	ɛ	n				sCVC		stɛn
dɹ	ɪ	t	s	ʊ	s	TɹVC.CVC	+OVA	dɹɪtsʊs
bw	ɛ	p				CwVC		bwɛp
sk	ɛ	ŋ				sCVC		skɛŋ
n	ʊ	t	k	ɛ	p	CVC.CVC	+OVA	nʊtkɛp
pm	uː	k				CNVC		pmuːk
tl	ɛ	n	b	ʊ	p	TlVC.CVC	-NPA	tlɛnbʊp
tw	æ	m				CwVC		twæm
d	ɪ	ŋ	g	ʊ	m	CVC.CVC	+NPA	dɪŋgʊm
dɹ	ɪ	ŋ	g	ɛ	p	TɹVC.CVC	+NPA	dɹɪŋgɛp
tl	oʊ	n				TlVC		tloʊn
kw	æ	s				CwVC		kwæs
tl	ɛ	p	d	ʊ	ŋ	TlVC.CVC	-OVA	tlɛpdʊŋ
g	ʊ	ŋ	k	æ	s	CVC.CVC	+NPA	gʊŋkæs
p	æ	ŋ	b	ʊ	m	CVC.CVC	-NPA	pæŋbʊm
md	ɪ	k				NCVC		mdɪk
dɹ	aɪ	p				TɹVC		dɹaɪp
st	ʊ	m				sCVC		stʊm
dl	ɛ	ŋ				TlVC		dlɛŋ
tl	ʊ	n	p	ɛ	s	TlVC.CVC	-NPA	tlʊnpɛs
pn	aʊ	t				CNVC		pnaʊt
b	ʊ	m	g	æ	p	CVC.CVC	-NPA	bʊmgæp
t	ɛ	ŋ	g	æ	t	CVC.CVC	+NPA	tɛŋgæt
tl	iː	s				TlVC		tliːs
kn	aɪ	t				CNVC		knaɪt
k	æ	s	d	ʊ	n	CVC.CVC	-OVA	kæsdʊn
s	ʊ	n				CVC		sʊn
dl	ʊ	ŋ				TlVC		dlʊŋ
