onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
p	ʊ	n				CVC		pʊn
dɹ	ɛ	k	t	ʊ	m	TɹVC.CVC	+OVA	dɹɛktʊm
pw	ɛ	s				CwVC		pwɛs
t	ɛ	m	b	ʊ	n	CVC.CVC	+NPA	tɛmbʊn
tl	ɛ	ŋ				TlVC		tlɛŋ
dl	ɪ	ŋ	t	ʊ	m	TlVC.CVC	-NPA	dlɪŋtʊm
dl	ɪ	t	b	ɛ	p	TlVC.CVC	-OVA	dlɪtbɛp
sk	ɪ	t				sCVC		skɪt
tl	aʊ	k				TlVC		tlaʊk
dl	eɪ	k				TlVC		dleɪk
p	ɪ	m	k	ɛ	ŋ	CVC.CVC	-NPA	pɪmkɛŋ
mp	aʊ	k				NCVC		mpaʊk
g	æ	k	b	ɛ	p	CVC.CVC	-OVA	gækbɛp
d	ɛ	s	p	ɪ	m	CVC.CVC	+OVA	dɛspɪm
gw	ɛ	t				CwVC		gwɛt
st	uː	m				sCVC		stuːm
tl	ʊ	s	g	ɪ	m	TlVC.CVC	-OVA	tlʊsgɪm
dɹ	ʊ	ŋ	g	æ	n	TɹVC.CVC	+NPA	dɹʊŋgæn
dɹ	ʊ	p	s	ɛ	ŋ	TɹVC.CVC	+OVA	dɹʊpsɛŋ
gn	ʊ	t				CNVC		gnʊt
n	ʊ	ŋ	d	ɛ	p	CVC.CVC	-NPA	nʊŋdɛp
n	æ	s	d	ʊ	t	CVC.CVC	-OVA	næsdʊt
tw	ʊ	ŋ				CwVC		twʊŋ
dl	æ	k				TlVC		dlæk
n	æ	m	g	ʊ	n	CVC.CVC	-NPA	næmgʊn
t	ɪ	s	d	ʊ	t	CVC.CVC	-OVA	tɪsdʊt
mk	eɪ	t				NCVC		mkeɪt
st	ɪ	n				sCVC		stɪn
tl	ɪ	p	d	ʊ	s	TlVC.CVC	-OVA	tlɪpdʊs
tl	ʊ	m	g	ɛ	ŋ	TlVC.CVC	-NPA	tlʊmgɛŋ
k	ɛ	p	s	ʊ	s	CVC.CVC	+OVA	kɛpsʊs
g	æ	s				CVC		gæs
tl	ɪ	s				TlVC		tlɪs
g	ɪ	m	b	ɛ	p	CVC.CVC	+NPA	gɪmbɛp
m	ɛ	ŋ	g	ɪ	t	CVC.CVC	+NPA	mɛŋgɪt
dl	ɪ	m	k	ʊ	p	TlVC.CVC	-NPA	dlɪmkʊp
ng	æ	p				NCVC		ngæp
sp	ɑ	k				sCVC		spɑk
g	uː	m				CVC		guːm
bn	ɛ	k				CNVC		bnɛk
tm	oʊ	k				CNVC		tmoʊk
mt	eɪ	p				NCVC		mteɪp
dm	ɑ	k				CNVC		dmɑk
dɹ	ʊ	n				TɹVC		dɹʊn
g	iː	n				CVC		giːn
bw	æ	k				CwVC		bwæk
dl	ɪ	p	g	æ	k	TlVC.CVC	-OVA	dlɪpgæk
dɹ	ʊ	k	t	ɛ	t	TɹVC.CVC	+OVA	dɹʊktɛt
d	ʊ	k	s	æ	n	CVC.CVC	+OVA	dʊksæn
dɹ	ʊ	m	b	ɪ	p	TɹVC.CVC	+NPA	dɹʊmbɪp
n	ɛ	ŋ	d	ʊ	k	CVC.CVC	-NPA	nɛŋdʊk
g	aʊ	s				CVC		gaʊs
mt	aɪ	p				NCVC		mtaɪp
n	ʊ	m	b	ɛ	ŋ	CVC.CVC	+NPA	nʊmbɛŋ
km	eɪ	t				CNVC		kmeɪt
dɹ	æ	ŋ	k	ʊ	s	TɹVC.CVC	+NPA	dɹæŋkʊs
g	ʊ	t	k	æ	s	CVC.CVC	+OVA	gʊtkæs
dɹ	oʊ	t				TɹVC		dɹoʊt
g	æ	p	k	ʊ	s	CVC.CVC	+OVA	gæpkʊs
d	ʊ	s	b	ɛ	p	CVC.CVC	-OVA	dʊsbɛp
