onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
dɹ	ɪ	s	t	ʊ	n	TɹVC.CVC	+OVA	dɹɪstʊn
g	ɛ	p				CVC		gɛp
k	ʊ	s				CVC		kʊs
dl	eɪ	k				TlVC		dleɪk
t	aʊ	s				CVC		taʊs
dɹ	ɑ	t				TɹVC		dɹɑt
tl	ɪ	m	s	ʊ	ŋ	TlVC.CVC	-NPA	tlɪmsʊŋ
np	oʊ	k				NCVC		npoʊk
kw	ʊ	n				CwVC		kwʊn
tw	ɪ	m				CwVC		twɪm
nk	ɛ	t				NCVC		nkɛt
g	ɛ	n	d	ʊ	m	CVC.CVC	+NPA	gɛndʊm
t	ʊ	s	g	ɛ	k	CVC.CVC	-OVA	tʊsgɛk
n	ʊ	s	g	ɪ	t	CVC.CVC	-OVA	nʊsgɪt
sp	ɪ	ŋ				sCVC		spɪŋ
nk	eɪ	t				NCVC		nkeɪt
s	æ	n	b	ɪ	p	CVC.CVC	-NPA	sænbɪp
tl	ɪ	k	g	æ	ŋ	TlVC.CVC	-OVA	tlɪkgæŋ
dw	ɛ	n				CwVC		dwɛn
sk	ɛ	m				sCVC		skɛm
dm	ɛ	t				CNVC		dmɛt
tl	ɛ	s	g	ʊ	k	TlVC.CVC	-OVA	tlɛsgʊk
tl	ʊ	k	g	ɪ	m	TlVC.CVC	-OVA	tlʊkgɪm
s	ɛ	ŋ	g	ɪ	n	CVC.CVC	+NPA	sɛŋgɪn
tɹ	ʊ	ŋ	g	ɛ	n	TɹVC.CVC	+NPA	tɹʊŋgɛn
t	ʊ	m	g	æ	n	CVC.CVC	-NPA	tʊmgæn
m	ɪ	p	t	ʊ	n	CVC.CVC	+OVA	mɪptʊn
p	ɪ	m	t	ɛ	ŋ	CVC.CVC	-NPA	pɪmtɛŋ
dɹ	ɪ	ŋ	g	ɛ	n	TɹVC.CVC	+NPA	dɹɪŋgɛn
dm	ɛ	k				CNVC		dmɛk
mb	ʊ	p				NCVC		mbʊp
dl	ɑ	s				TlVC		dlɑs
g	æ	t	p	ɪ	m	CVC.CVC	+OVA	gætpɪm
t	ɪ	s	g	ɛ	p	CVC.CVC	-OVA	tɪsgɛp
s	ʊ	ŋ	k	ɛ	s	CVC.CVC	+NPA	sʊŋkɛs
dw	æ	n				CwVC		dwæn
n	ɪ	s	p	æ	ŋ	CVC.CVC	+OVA	nɪspæŋ
sp	iː	k				sCVC		spiːk
b	ɛ	p	t	ɪ	s	CVC.CVC	+OVA	bɛptɪs
bn	ɑ	t				CNVC		bnɑt
dl	ɪ	m	g	ʊ	p	TlVC.CVC	-NPA	dlɪmgʊp
tl	ɛ	m	d	ʊ	ŋ	TlVC.CVC	-NPA	tlɛmdʊŋ
tɹ	ʊ	ŋ	k	ɛ	s	TɹVC.CVC	+NPA	tɹʊŋkɛs
dl	eɪ	m				TlVC		dleɪm
g	oʊ	s				CVC		goʊs
tl	iː	m				TlVC		tliːm
dɹ	ɪ	s	p	ʊ	p	TɹVC.CVC	+OVA	dɹɪspʊp
g	ɑ	n				CVC		gɑn
gn	ɑ	k				CNVC		gnɑk
d	ʊ	t	g	ɛ	k	CVC.CVC	-OVA	dʊtgɛk
g	ɪ	s	t	ɛ	t	CVC.CVC	+OVA	gɪstɛt
tl	ʊ	ŋ				TlVC		tlʊŋ
sp	ɛ	m				sCVC		spɛm
g	ɪ	m	t	ʊ	ŋ	CVC.CVC	-NPA	gɪmtʊŋ
dɹ	iː	k				TɹVC		dɹiːk
dl	ʊ	s	g	æ	p	TlVC.CVC	-OVA	dlʊsgæp
dɹ	æ	k	t	ɪ	s	TɹVC.CVC	+OVA	dɹæktɪs
nb	æ	t				NCVC		nbæt
p	ʊ	n	t	ɛ	m	CVC.CVC	+NPA	pʊntɛm
bm	uː	p				CNVC		bmuːp
